audio/chunk_00001.wav|हरितवन नावाचे 1 सुंदर असे जंगल होते.
audio/chunk_00002.wav|या जंगलात सगळ्या प्राण्या पक्षाबरोबर
audio/chunk_00003.wav|बबलू हत्ती दादा आणि भोली गाढव दादा राहत होते.
audio/chunk_00004.wav|बबलू हत्ती दादा खूप ताकतवान, अवाढव्य शरीराचे
audio/chunk_00005.wav|आणि अवाटव्य शरीराचे होते.
audio/chunk_00006.wav|खूप ताकदवान म्हणून ते जंगलात सगळे प्रसिद्ध होते.
audio/chunk_00007.wav|शांत समजूतदार स्वभावाचे तेजस्वी डोळ्याचे आणि हुशार बुद्धीचे होते.
audio/chunk_00008.wav|एकदा काय झालं जंगलातल्या कुणात
audio/chunk_00009.wav|बबलू हत्ती दादा गवत खात होते.
audio/chunk_00010.wav|तेवढ्यात काय झालं? तेवढ्यात अचानक त्यांच्या पायाला दोरखंड बांधला गेला आणि त्यांना ओढत नेऊन
audio/chunk_00011.wav|एका खुंट्याला बांधलं गेलं. त्यातून त्यांनी सुटण्यासाठी खूप धडपड केली.
audio/chunk_00012.wav|ते घाबरले, अरे देवा हे काय झालं? मी कसा अडकलो ह्यात? माझे मलाच कळेना, काय करू मी? आता यातून माझी सुटका नाही होणार.
audio/chunk_00013.wav|मी आता आयुष्यभर या दोरखंडालाच अडकून पडणार.
audio/chunk_00014.wav|असे म्हणून ते घाबरून सुटण्यासाठी प्रयत्न करू लागले.
audio/chunk_00015.wav|तेव्हा गोडी गाढव दादा जंगलातनं निघाले होते.
audio/chunk_00016.wav|त्यांनी पहिले बबलू हत्ती दादांना
audio/chunk_00017.wav|आणि ते काय मनात म्हणाले, अरे एवढी ताकदवान बबलू हत्ती दादा आणि ते दोरखंडाला अडकले कसे आहेत?
audio/chunk_00018.wav|चला त्यांना जाऊन विचारूया.
audio/chunk_00019.wav|असे म्हणून ते Babru Hatti Dada-जवळ आले.
audio/chunk_00020.wav|अरे Bablu हत्ती दादा, एवढे तुम्ही ताकद मान.
audio/chunk_00021.wav|या दोरखंडाने कसे बांधले गेले हात? तेव्हा Bablu Hatti Dada म्हणाले,
